省份,景区数量,景区名称
北京,7,故宫博物院
,,天坛公园
,,颐和园
,,八达岭-慕田峪长城旅游区
,,明十三陵景区（神路-定陵-长陵-昭陵）
,,恭王府景区
,,北京奥林匹克公园（鸟巢-水立方-中国科技馆-国家奥林匹克森林公园）
天津,2,天津古文化街旅游区津门故里
,,天津蓟县盘山风景名胜区
河北,5,承德避暑山庄及周围寺庙景区（普陀宗乘-须弥福寿-普宁寺-普佑寺）
,,秦皇岛山海关景区（老龙头-山海关古城-天下第一关-孟姜女庙）
,,保定安新白洋淀景区（文化苑-大观园-鸳鸯岛-元妃荷园-嘎子印象-渔人乐园）
,,保定涞水县野三坡景区（百里峡-白草畔-鱼谷洞-龙门天关）
,,石家庄平山县西柏坡景区
山西,4,大同云冈石窟
,,忻州五台山风景名胜区
,,晋城阳城县皇城相府生态文化旅游区
,,晋中市介休市绵山风景名胜区
内蒙古,2,鄂尔多斯达拉特旗响沙湾旅游景区
,,鄂尔多斯伊金霍洛旗成吉思汗陵旅游区
辽宁,3,沈阳植物园
,,大连老虎滩海洋公园—老虎滩极地馆
,,大连金石滩景区（地质公园-发现王国-蜡像馆-文化博览广场）
吉林,3,长白山景区
,,长春伪满皇宫博物院
,,长春净月潭景区
黑龙江,4,哈尔滨太阳岛景区
,,黑河五大连池景区
,,牡丹江宁安市镜泊湖景区
,,伊春市汤旺河林海奇石景区
上海,3,东方明珠广播电视塔
,,上海野生动物园
,,上海科技馆
江苏,17,苏州园林（拙政园-留园-虎丘）
,,苏州昆山周庄古镇景区
,,南京钟山-中山陵风景名胜区（明孝陵-音乐台-灵谷寺-梅花山-紫金山天文台）
,,中央电视台无锡影视基地三国水浒城景区
,,无锡灵山大佛景区
,,无锡鼋头渚景区
,,苏州吴江同里古镇景区
,,南京夫子庙-秦淮河风光带（江南贡院-白鹭洲-中华门-瞻园-王谢故居）
,,常州环球恐龙城景区（中华恐龙园-恐龙谷温泉-恐龙城大剧场）
,,常州溧阳天目湖旅游度假区（天目湖、南山竹海、御水温泉）
,,扬州瘦西湖风景区
,,南通市濠河风景区
,,泰州姜堰区溱湖国家湿地公园
,,苏州市金鸡湖国家商务旅游示范区
,,镇江三山风景名胜区（金山-北固山-焦山）
,,苏州吴中太湖旅游区（旺山-穹窿山-东山）
,,苏州常熟沙家浜-虞山尚湖旅游区
浙江,11,杭州西湖风景区
,,衢州市开化根宫佛国文化旅游区
,,舟山普陀山风景区
,,杭州淳安千岛湖风景区
,,嘉兴桐乡乌镇古镇
,,宁波奉化溪口-滕头旅游景区
,,金华东阳横店影视城景区
,,嘉兴南湖旅游区
,,杭州西溪湿地旅游区
,,温州乐清市雁荡山风景区
,,绍兴市鲁迅故里-沈园景区
安徽,7,黄山市黄山风景区
,,池州青阳县九华山风景区
,,安庆潜山县天柱山风景区
,,黄山市黟县皖南古村落—西递宏村
,,六安市金寨县天堂寨风景区
,,宣城市绩溪县龙川景区
,,阜阳八里河风景区
福建,7,厦门鼓浪屿风景名胜区
,,南平武夷山风景名胜区
,,三明泰宁风景旅游区
,,福建土楼（永定·南靖）旅游景区
,,宁德屏南（白水洋·鸳鸯溪）旅游景区
,,宁德市福鼎太姥山旅游区
,,泉州市清源山风景名胜区
江西,6,九江庐山风景名胜区
,,吉安井冈山风景旅游区
,,上饶三清山旅游景区
,,鹰潭市贵溪龙虎山风景名胜区
,,上饶婺源县江湾景区
,,景德镇古窑民俗博览区
山东,9,济南天下第一泉风景区（趵突泉-大明湖-五龙潭-环城公园-黑虎泉）
,,泰安泰山景区
,,烟台蓬莱阁-三仙山-八仙过海旅游区
,,济宁曲阜明故城三孔旅游区
,,青岛崂山旅游风景区
,,威海刘公岛景区
,,烟台龙口南山景区
,,枣庄台儿庄古城景区
,,山东沂蒙山旅游区
河南,9,郑州登封嵩山少林景区
,,洛阳龙门石窟景区
,,焦作（云台山-神农山-青天河）风景区
,,安阳殷墟景区
,,洛阳嵩县白云山景区
,,开封清明上河园景区
,,平顶山鲁山县尧山-中原大佛景区
,,洛阳栾川县老君山-鸡冠洞旅游区
,,洛阳新安县龙潭大峡谷景区
湖北,8,武汉黄鹤楼公园
,,宜昌三峡大坝旅游区
,,宜昌三峡人家风景区
,,十堰丹江口市武当山风景区
,,恩施州巴东神农溪纤夫文化旅游区
,,神农架生态旅游区
,,宜昌长阳县清江画廊景区
,,中国武汉--东湖生态旅游风景区
湖南,6,张家界武陵源－天门山旅游区
,,衡阳南岳衡山旅游区
,,湘潭韶山旅游区
,,岳阳岳阳楼－君山景区
,,长沙岳麓山－橘子洲景区
,,长沙花明楼景区
广东,9,广州长隆旅游度假区
,,深圳华侨城旅游度假区
,,广州白云山风景区
,,梅州梅县区雁南飞茶田景区
,,深圳观澜湖休闲旅游区
,,清远连州地下河旅游景区
,,韶关仁化丹霞山景区
,,佛山西樵山景区
,,惠州市罗浮山景区
广西,3,桂林漓江风景区
,,桂林兴安县乐满地度假世界
,,桂林独秀峰·靖江王城景区
海南,4,三亚南山文化旅游区
,,三亚南山大小洞天旅游区
,,保亭县呀诺达雨林文化旅游区
,,陵水县分界洲岛旅游区
重庆,6,大足石刻景区
,,巫山小三峡-小小三峡
,,武隆喀斯特旅游区（天生三桥-仙女山-芙蓉洞）
,,酉阳桃花源景区
,,万盛黑山谷景区
,,南川金佛山-神龙峡风景区
四川,9,成都青城山-都江堰旅游景区
,,绵阳北川羌城旅游区（中国羌城-老县城地震遗址-“5·12”特大地震纪念馆-北川羌族民俗博物馆-北川新县城-吉娜羌寨）
,,乐山峨眉山景区
,,乐山乐山大佛风景区
,,阿坝藏族羌族自治州九寨沟景区
,,阿坝藏族羌族自治州松潘县黄龙风景名胜区
,,阿坝藏族羌族自治州汶川特别旅游区（震中映秀-水磨古镇-三江生态旅游区）
,,阆中市阆中古城旅游区景区
,,广安市邓小平故里旅游区
贵州,3,安顺黄果树瀑布景区
,,安顺龙宫景区
,,毕节百里杜鹃景区
云南,6,昆明石林风景区
,,丽江玉龙雪山景区
,,丽江古城景区
,,大理崇圣寺三塔文化旅游区
,,中科院西双版纳热带植物园
,,迪庆藏族自治州香格里拉普达措国家公园
西藏,2,拉萨布达拉宫景区
,,拉萨大昭寺景区
陕西,5,西安秦始皇兵马俑博物馆
,,西安华清池景区
,,延安黄陵县黄帝陵景区
,,西安大雁塔-大唐芙蓉园景区
,,渭南华阴市华山景区
甘肃,3,嘉峪关文物景区
,　　,平凉崆峒山风景名胜区
,,天水麦积山景区
宁夏,3,石嘴山平罗县沙湖旅游景区
,,中卫沙坡头旅游景区
,,银川镇北堡西部影视城
青海,2,青海湖景区
,,西宁市湟中县塔尔寺景区
新疆,7,昌吉州阜康市天山天池风景名胜区
,,吐鲁番葡萄沟风景区
,,喀什地区泽普县金湖杨景区
,,阿勒泰地区布尔津县喀纳斯景区
,,伊犁地区新源县那拉提旅游风景区
,,阿勒泰地区富蕴县可可托海景区
,,维吾尔自治区乌鲁木齐天山大峡谷
