省份,景区数量,景区名称
重庆,,1 重庆丰都名山风景区 2000年 
,, 重庆长江三峡旅游开发公司丰都分公司 
,,2 重庆奉节白帝城—瞿塘峡 2000年 
,, 重庆长江三峡旅游开发公司奉节分公司 
,,3 重庆忠县石宝寨 2001年 忠县白公路24号 忠县文物局 
,,4 重庆聂荣臻元帅陈列馆 2001年 江津几江鼎山大道 聂荣臻元帅陈列馆 
,,5 重庆歌乐山国家森林公园 2002年 沙坪坝区歌乐山 重庆市歌乐山国家森林公园 
,,6 重庆万盛石林风景区（升级5A） 2002年 
,, 重庆万盛黑山谷旅游投资有限公司 
,,7 重庆人民大礼堂及人民广场 2002年 渝中区人民路173号 重庆市人民大礼堂管理处 
,,8 重庆缙云山国家级自然保护区 2002年 北碚区缙云山27号 缙云山自然保护区管理局 
,,9 重庆北温泉风景区 2002年 
,, 北碚区北温泉风景区管理处 
,,10 重庆野生动物世界 2003年 
,, 重庆野生动物世界有限公司 
,,11 重庆万盛黑山谷生态旅游区 2003年 
,, 重庆万盛黑山谷旅游投资有限公司 
,,12 重庆歌乐山烈士陵园 2003年 沙坪坝区烈士墓政三村 重庆市红岩联线文化管理中心 
,,13 重庆市南山植物园 2003年 南岸区南山公园路101号 重庆市南山植物园管理处 
,,14 重庆红岩革命纪念馆 2005年 
,, 重庆市红岩联线文化管理中心 
,,15 重庆丰都雪玉洞 2005年 
,, 丰都县龙河旅游开发公司 
,,16 重庆云阳张飞庙 2005年 云阳县望江大道886号 云阳县文物管理所 
,,17 重庆黔江小南海 2005年 黔江区西沙北路100号 重庆市黔江区旅游天地公司 
,,18 重庆市规划展览馆 2006年 渝中区朝东路1号 重庆市规划展览馆 
,,19 重庆湖广会馆 2006年 渝中区芭蕉园1号 重庆湖广会馆管理处 
,,20 重庆四面山国家级风景名胜区 2006年 
,, 江津区四面山风景名胜区管理委员会 
,,21 重庆统景温泉风景区 2006年 渝北区统景镇景泉路66号 统景风景区管理委员会 
,,22 重庆磁器口古镇 2006年 沙坪坝区磁器口南街1号 沙坪坝区磁器口古镇管委会 
,,23 重庆中国三峡博物馆 2007年 渝中区人民路236号 重庆中国三峡博物馆 
,,24 重庆洪崖洞民俗风貌区 2007年 渝中区嘉滨路88号 重庆洪崖洞民俗风貌区 
,,25 重庆海兰云天温泉度假区 2007年 九龙坡区金凤镇海兰村 海兰云天温泉度假区 
,,26 重庆金源方特科幻公园 2007年 江北区滨江路董家溪 重庆金源方特科幻公园 
,,27 重庆动物园 2008年 九龙坡区西郊一村1号 重庆动物园管理处 
,,28 重庆酉阳桃花源（升级5A） 2008年 酉阳县桃花源街232号 酉阳桃花源景区管理委员会 
,,29 重庆贝迪颐园温泉 2009年 九龙坡白市驿镇农科大道 重庆贝迪农业发展有限公司 
,,30 重庆颐尚温泉 2009年 北碚施家梁镇陵峡路98号 重庆颐尚温泉开发有限公司 
,,31 重庆南川金佛山 2010年 
,, 重庆山水都市旅游开发公司
,,金佛山旅游开发分公司 
,,32 重庆酉阳龚滩古镇 2010年 
,, 酉阳县龚滩景区管委会 
,,33 重庆科技馆 2010年 江北区江北城西大街7号 重庆科技馆管理有限公司 
,,34 重庆观音桥商圈都市旅游区 2010年 江北区建新西路2号 重庆观音桥商圈管理办公室 
,,35 重庆华岩-龙门阵旅游区 2010年 
,, 重庆市华岩风景区管理处
,,重庆龙门阵旅游度假公司 
,,36 重庆巴国城 2011年 九龙坡区九龙园区 重庆市龙力房地产开发公司 
,,37 重庆巫溪大宁河生态文化长廊 2011年 巫溪县城厢镇人民街18号 巫溪县圣景旅游发展有限公司 
,,38 重庆加勒比海水世界景区 2011年 重庆市南岸区崇文路35号 重庆极地实业有限公司 
,,39 重庆南川区神龙峡风景区 2011年 重庆市南川区南平镇 
,,40 重庆潼南县杨闇公故里 2011年 重庆市潼南县梓潼街道石碾村 潼南县杨尚昆故里管理处 
,,41 重庆石柱县大风堡景区 2011年 石柱县黄水镇莼乡路216号 重庆梦想旅游开发有限公司 
,,42 重庆上邦温泉旅游区 2012年 九龙坡区金凤镇上邦路3号 
,,43 重庆万州大瀑布群旅游区 2012年 重庆市万州区白岩一支路98号 浙旅（重庆）万州大瀑布群有限公司 
,,44 重庆长寿湖风景名胜区 2012年 重庆市长寿区长寿湖镇正街 
,,45 重庆开县刘伯承同志纪念馆 2012年 重庆市开县汉丰镇盛山社区 
,,46 重庆云阳龙缸景区 2012年 云阳县双江街道杏花路60号 
,,47 重庆巫溪红池坝森林旅游景区 2012年 重庆市巫溪县红池 重庆市巫溪县红池坝实业有限责任公司 
,,48 重庆綦江古剑山风景区 2012年 重庆市綦江区古南街道清水村 
,,49 重庆酉阳龙潭古镇景区 2012年 酉阳县赵庄社区赵庄路219号
河北,,1 开滦国家矿山公园 
,,2 邢台前南峪 
,,3 邢台扁鹊庙 
,,4 邢台丰乐园 
,,5 邢台峡谷群 
,,6 邢台天河山（中国爱情山） 
,,7 保定易县狼牙山风景区 
,,8 保定直隶总督署 
,,9 保定易县清西陵 
,,10 唐山南湖城市中央生态公园 
,,11 清东陵 
,,12 承德市普宁寺 
,,13 秦皇岛野生动物园 
,,14 普陀宗乘之庙 
,,15 吴桥杂技大世界 
,,16 秦皇岛新澳海底世界 
,,17 邯郸武安东山文化博艺园 
,,18 河北沽源沽水福源度假村 
,,19 河北沽源塞外庄园 
,,20 河北沽源天鹅湖 
,,21 石家庄苍岩山景区 
,,22 正定隆兴寺 
,,23 石家庄抱犊寨景区 
,,24 石家庄天桂山景区 
,,25 邯郸武安京娘湖风景区 
,,26 保定阜平晋察冀边区革命纪念馆 
,,27 石家庄市灵寿秋山景区 
,,28 石家庄市平山县黑山大峡谷景区 
,,29 张家口市沽源县沽水福源景区 
,,30 张家口市沽源县天鹅湖景区 
,,31 张家口市下花园鸡鸣山景区 
,,32 衡水市武强年画博物馆（2011年）[4] 
山西,,1 山西榆次常家庄园 2007 
,,2 平遥县镇国寺 2007 
,,3 平遥县协同庆钱庄博物馆 2007 
,,4 平遥县城隍庙财神庙 2007 
,,5 山西应县木塔景区 2007 
,,6 晋祠旅游区 2001 
,,7 吉县黄河壶口瀑布旅游区 2002 
,,8 永济普救寺旅游区 2002 
,,9 洪洞大槐树寻根祭祖园旅游景区 2002 
,,10 浑源恒山旅游区 2002 
,,11 灵石王家大院旅游景区 2002 
,,12 祁县乔家大院旅游区 2002 
,,13 运城市解州关帝庙旅游区 2005 
,,14 运城市芮城县永乐宫旅游区 2005 
,,15 临汾市尧庙-华门旅游区 2005 
,,16 晋中市平遥双林寺彩塑艺术馆 2005 
,,17 晋中市平遥文庙学宫博物馆 2005 
,,18 晋中市平遥日升昌-中国票号博物馆 2005 
,,19 晋中市平遥县衙博物馆 2005 
,,20 晋中介休市绵山风景名胜区 2005 
,,21 太原中国煤炭博物馆 2008 
