AAAAA级景区

阿勒泰地区喀纳斯景区	新疆	5A
吐鲁番市葡萄沟风景区	新疆	5A
新疆天山天池风景名胜区	新疆	5A
中卫市沙坡头旅游景区	宁夏	5A
石嘴山市沙湖旅游景区	宁夏	5A
平凉市崆峒山风景名胜区	甘肃	5A
嘉峪关市嘉峪关文物景区	甘肃	5A
延安市黄帝陵景区	西安	5A
西安市华清池景区	西安	5A
西安市秦始皇兵马俑博物馆	西安	5A
丽江市玉龙雪山景区	云南	5A
昆明市石林风景区	云南	5A
安顺市龙宫景区	贵州	5A
安顺市黄果树大瀑布景区	贵州	5A
阿坝藏族羌族自治州九寨沟旅游景区	四川	5A
乐山市峨眉山景区	四川	5A
成都市青城山--都江堰旅游景区	四川	5A
重庆巫山小三峡-小小三峡	重庆	5A
重庆大足石刻景区	重庆	5A
三亚市南山大小洞天旅游区	海南	5A
三亚市南山文化旅游区	海南	5A
桂林市乐满地度假世界	广西	5A
桂林市漓江景区	广西	5A
深圳华侨城旅游度假区	广东	5A
广州市长隆旅游度假区	广东	5A
宜昌市三峡大坝旅游区	湖北	5A
武汉市黄鹤楼公园	湖北	5A
张家界武陵源旅游区	湖南	5A
衡阳市南岳衡山旅游区	湖南	5A
焦作市云台山风景名胜区	河南	5A
洛阳市龙门石窟景区	河南	5A
登封市嵩山少林景区	河南	5A
泰安市泰山景区	山东	5A
济宁市曲阜明故城（三孔）旅游区	山东	5A
烟台市蓬莱阁旅游区	山东	5A
吉安市井冈山风景旅游区	江西	5A
江西省庐山风景名胜区	江西	5A
南平市武夷山风景名胜区	福建	5A
厦门市鼓浪屿风景名胜区	福建	5A
池州市九华山风景区	安徽	5A
黄山市黄山风景区	安徽	5A
金华市东阳横店影视城景区	浙江	5A
嘉兴市桐乡乌镇古镇旅游区	浙江	5A
宁波市奉化溪口-滕头旅游景区	浙江	5A
杭州市千岛湖风景名胜区	浙江	5A
舟山市普陀山风景名胜区	浙江	5A
温州市雁荡山风景名胜区	浙江	5A
杭州市西湖风景名胜区	浙江	5A
常州市环球恐龙城休闲旅游区	江苏	5A
苏州市同里古镇景区	江苏	5A
扬州市瘦西湖风景区	江苏	5A
南京市夫子庙-秦淮风光带景区	江苏	5A
无锡市灵山大佛景区	江苏	5A
苏州市周庄古镇景区	江苏	5A
苏州园林（拙政园、虎丘山、留园）	江苏	5A
中央电视台无锡影视基地三国水浒景区	江苏	5A
南京市钟山风景名胜区-中山陵园风景区	江苏	5A
上海科技馆	上海	5A
上海野生动物园	上海	5A
上海东方明珠广播电视塔	上海	5A
哈尔滨市太阳岛景区	黑龙江	5A
长白山景区	吉林	5A
长春市伪满皇宫博物院	吉林	5A
大连老虎滩海洋公园.老虎滩极地馆	辽宁	5A
沈阳市植物园	辽宁	5A
忻州市五台山风景名胜区	山西	5A
大同市云冈石窟	山西	5A
承德避暑山庄及周围寺庙景区	河北	5A
保定市安新白洋淀景区	河北	5A
秦皇岛市山海关景区	河北	5A
天津盘山风景名胜区	天津	5A
天津古文化街旅游区（津门故里）	天津	5A
八达岭长城	北京	5A
颐和园	北京	5A
天坛公园	北京	5A
故宫博物院	北京	5A


AAAA级景区
农五师怪石峪风景区	新疆兵团	4A
乌鲁木齐西山老君庙	新疆兵团	4A
和硕县金沙滩旅游景区	新疆	4A
龟兹绿洲生态园	新疆	4A
库车王府	新疆	4A
察布查尔县锡伯民俗风情园	新疆	4A
艾提尕民俗文化旅游风景区	新疆	4A
马步芳公馆景区	青海	4A
青海藏医药文化博物馆	青海	4A
青海金银滩景区	青海	4A
武威沙漠公园	甘肃	4A
武威神州荒漠野生动物园	甘肃	4A
黄河三峡风景名胜区	甘肃	4A
景泰黄河石林风景旅游区	甘肃	4A
卓尼县大峪沟景区	甘肃	4A
官鹅沟风景区	甘肃	4A
康县阳坝自然风景区	甘肃	4A
陇南市万象洞风景区	甘肃	4A
成县《西狭颂》风景区	甘肃	4A
重庆金源方特科幻公园	重庆	4A
重庆洪崖洞民俗风貌区	重庆	4A
重庆中国三峡博物馆	重庆	4A
重庆海兰云天温泉度假区	重庆	4A
大新德天跨国瀑布景区	广西	4A
兴业鹿峰山风景区	广西	4A
梧州市骑楼城-龙母庙景区	广西	4A
钦州八寨沟旅游景区	广西	4A
靖西县古龙山峡谷群生态旅游景区	广西	4A
百色起义纪念馆	广西	4A
百色乐业大石围天坑群景区	广西	4A
碧桂园假日半岛故乡里旅游度假区	广东	4A
广东省飞来峡水利枢纽风景区	广东	4A
中山詹园	广东	4A
清远黄藤峡生态旅游区	广东	4A
清远玄真古洞生态旅游度假区	广东	4A
汕尾玄武山旅游区	广东	4A
惠州市龙门县南昆山生态旅游区	广东	4A
惠州市龙门南昆山温泉旅游大观园	广东	4A
惠州市龙门温泉旅游度假区	广东	4A
湛江蓝月湾温泉度假邨	广东	4A
佛山清晖园	广东	4A
深圳市仙湖植物园	广东	4A
张家界龙王洞旅游区	湖南	4A
郴州莽山国家森林公园	湖南	4A
永州九嶷山舜帝陵景区	湖南	4A
南阳市西峡恐龙遗址园　　	河南	4A
洛阳市洛宁县神灵寨风景区	河南	4A
洛阳市嵩县天池山国家森林公园	河南	4A
洛阳市嵩县木札岭景区	河南	4A
洛阳市新安县龙潭大峡谷景区	河南	4A
潍坊杨家埠民间艺术大观园	山东	4A
莱芜市房干生态旅游区	山东	4A
淄博市周村古商城	山东	4A
明月山天沐温泉度假村	江西	4A
宜春明月山温泉风景名胜区	江西	4A
三爪仑国家森林公园	江西	4A
乐清市中雁荡山风景区	浙江	4A
文成县铜铃山国家森林公园	浙江	4A
平阳县南雁荡山风景名胜区	浙江	4A
玉环县大鹿岛景区	浙江	4A
舟山桃花岛风景旅游区	浙江	4A
南通博物苑	江苏	4A
扬州中国雕版印刷博物馆/扬州博物馆	江苏	4A
常熟服装城购物旅游区	江苏	4A
常州市红梅公园	江苏	4A
上海市青少年校外活动营地－东方绿舟	上海	4A
上海方塔园	上海	4A
森工平山旅游区	黑龙江	4A
黑河市五大连池风景名胜区	黑龙江	4A
大庆油田历史陈列馆	黑龙江	4A
伊春市嘉荫恐龙国家地质公园	黑龙江	4A
汤旺河林海奇石风景区	黑龙江	4A
哈尔滨索非亚教堂景区	黑龙江	4A
黑龙江科学技术馆	黑龙江	4A
呼伦贝尔市陈巴尔虎旗呼和诺尔旅游景区	内蒙古	4A
满洲里俄罗斯套娃广场	内蒙古	4A
山西榆次常家庄园	山西	4A
平遥县镇国寺	山西	4A
平遥县协同庆钱庄博物馆	山西	4A
平遥县城隍庙财神庙	山西	4A
山西应县木塔景区	山西	4A
迁西县景忠山旅游区	河北	4A
迁西县青山关旅游区	河北	4A
乐亭县李大钊纪念馆及故居	河北	4A
怀来黄龙山庄旅游区	河北	4A
张北中都原始草原度假村	河北	4A
北京平谷青龙山旅游区	北京	4A
循化撒拉族绿色家园	青海	4A
青海湖景区	青海	4A
庐山龙湾温泉度假村	江西	4A
庐山天沐温泉度假村	江西	4A
宜宾市夕佳山民居	四川	4A
广元市翠云廊景区	四川	4A
广元皇泽寺	四川	4A
凉山州螺髻山旅游景区	四川	4A
凉山州冕宁县灵山旅游景区	四川	4A
凉山州邛海泸山国家级风景名胜区	四川	4A
南充西山风景区	四川	4A
南充市朱德故里琳琅山景区	四川	4A
成都市洛带古镇	四川	4A
成都市大熊猫繁育研究基地	四川	4A
成都市杜甫草堂博物馆	四川	4A
成都市武侯祠博物馆	四川	4A
重庆磁器口古镇	重庆	4A
重庆统景温泉风景区	重庆	4A
重庆仙女山国家森林公园	重庆	4A
重庆四面山国家重点风景名胜区	重庆	4A
重庆湖广会馆	重庆	4A
重庆市规划展览馆	重庆	4A
芜湖市赭山风景区	安徽	4A
芜湖市马仁奇峰森林风景旅游区	安徽	4A
芜湖市王稼祥纪念园	安徽	4A
黄山市太平湖风景区	安徽	4A
黄山市唐模景区	安徽	4A
黄山市徽州古城	安徽	4A
松原市查干湖旅游度假区	吉林	4A
蛟河拉法山国家森林公园	吉林	4A
通化市杨靖宇烈士陵园	吉林	4A
长春市莲花山滑雪场	吉林	4A
中国彩棉科技园	新疆兵团	4A
新疆生产建设兵团军垦博物馆	新疆兵团	4A
乌鲁木齐市水磨沟风景区	新疆	4A
敦煌雅丹国家地质公园	甘肃	4A
敦煌阳关文物景区	甘肃	4A
西安秦岭野生动物园	陕西	4A
西安大雁塔文化休闲景区	陕西	4A
西安曲江海洋馆	陕西	4A
西安大唐芙蓉园	陕西	4A
迪庆州梅里雪山景区	云南	4A
腾冲和顺景区	云南	4A
昆明市大观公园	云南	4A
昆明市西山森林公园	云南	4A
梓潼县七曲山风景区	四川	4A
绵阳市西羌九黄山猿王洞景区	四川	4A
三亚蜈支洲岛度假中心	海南	4A
海口石山火山群国家地质公园	海南	4A
海南热带野生动植物园	海南	4A
兴安灵渠景区	广西	4A
桂林靖江王城景区	广西	4A
桂林古东瀑布景区	广西	4A
靖西通灵大峡谷景区	广西	4A
贺州姑婆山旅游区	广西	4A
钦州刘冯故居景区	广西	4A
钦州三娘湾旅游区	广西	4A
北海海洋之窗	广西	4A
南宁九曲湾温泉景区	广西	4A
南宁嘉和城景区	广西	4A
清远市连州地下河	广东	4A
佛山市三水森林公园	广东	4A
恩平市锦江温泉旅游度假区	广东	4A
韶关市曹溪温泉假日度假村	广东	4A
珠海农科奇观	广东	4A
郴州天堂温泉	湖南	4A
郴州市汝成温泉福泉山庄	湖南	4A
湘潭市韶山滴水洞景区	湖南	4A
湘潭市彭德怀纪念馆	湖南	4A
宜昌九畹溪风景区	湖北	4A
宜昌市三游洞风景区	湖北	4A
三峡石牌要塞旅游区	湖北	4A
中国地质大学逸夫博物馆	湖北	4A
永城市芒砀山文物旅游区	河南	4A
商丘古文化旅游区	河南	4A
汤阴县岳飞庙景区	河南	4A
卢氏县豫西大峡谷风景区	河南	4A
新乡八里沟	河南	4A
新郑黄帝故里	河南	4A
漯河南街村	河南	4A
临沂市山东沂水县地下大峡谷旅游区	山东	4A
聊城东昌湖旅游区	山东	4A
济宁市邹城孟庙、孟府旅游区	山东	4A
淄博中国陶瓷馆	山东	4A
青岛银海国际游艇俱乐部旅游区	山东	4A
济南市章丘百脉泉景区	山东	4A
六安市万佛湖风景区	安徽	4A
泾县云岭新四军军部旧址纪念馆	安徽	4A
安徽-绩溪县龙川景区	安徽	4A
溧阳市天目湖南山竹海景区	江苏	4A
江阴市滨江要塞旅游区	江苏	4A
江阴市江苏学政文化旅游区	江苏	4A
宜兴市竹海风景区	江苏	4A
宜兴市团氿风景区	江苏	4A
宜兴市龙背山森林公园	江苏	4A
苏州市西园戒幢律寺	江苏	4A
苏州市寒山寺	江苏	4A
宁安市火山口国家森林公园	黑龙江	4A
齐齐哈尔市明月岛景区	黑龙江	4A
清原红河峡谷漂流	辽宁	4A
铁岭清河省级旅游度假区	辽宁	4A
丹东抗美援朝纪念馆	辽宁	4A
旅顺白玉山景区	辽宁	4A
大连市自然博物馆	辽宁	4A
沈阳科学宫	辽宁	4A
沈阳冰川动物乐园	辽宁	4A
辽宁省博物馆	辽宁	4A
鄂尔多斯市成吉思汗陵旅游区	内蒙古	4A
包头市北方兵器城	内蒙古	4A
张家口沽源塞外庄园	河北	4A
廊坊茗汤温泉度假村	河北	4A
天津宝成博物苑	天津	4A
天津杨柳青博物馆（石家大院）	天津	4A
宁波梁祝文化公园	浙江	4A
吐鲁番葡萄沟游乐园	新疆	4A
天山天池风景名胜区	新疆	4A
